Symbol,Increase_Num,Increase_Year,Before_Open,During_Close,After_Close,During_High,After_High,During_Close_Percent,After_Close_Percent,During_High_Percent,After_High_Percent
ABM,1,2024,44.560001373291,43.4000015258789,43.2999992370605,44.3499984741211,43.7200012207031,-2.60323117518439,-2.82765282181015,-0.471281177508614,-1.88509902760325
ABM,2,2023,44.7099990844727,44.9700012207031,45.6199989318848,45.560001373291,45.6800003051758,0.581530175697753,2.0353385507631,1.90114584259408,2.16953979102177
ABM,3,2022,41.1199989318848,42.7599983215332,42.4700012207031,43.1199989318848,43.75,3.98832546752994,3.28307958143329,4.86381335591228,6.39591716058113
ABM,4,2021,36.939998626709,41.1100006103516,41.1300010681152,41.6699981689453,41.310001373291,11.288581858873,11.3427249517456,12.8045471523552,11.8300024608618
ABM,5,2019,38.5,37.7099990844727,38.4199981689453,38.3199996948242,38.4799995422363,-2.05195042994104,-0.207796963778446,-0.46753326019689,-0.0519492409446761
ADM,1,2024,53.0299987792969,52.8800010681152,52.7000007629395,53.1699981689453,53.0400009155273,-0.282854449621945,-0.622285543944295,0.264000363701783,0.018861279390228
ADM,2,2023,82.3499984741211,81.5999984741211,80.5999984741211,82.9899978637695,86.1399993896484,-0.910746829261559,-2.12507593494364,0.777169886468829,4.60230842228653
ADM,3,2022,75.9599990844727,75.9800033569336,76.6900024414062,76.2900009155273,77.0999984741211,0.0263352721195385,0.961036553096428,0.434441594302309,1.500789103987
ADM,4,2021,53.0299987792969,53.6500015258789,54.4799995422363,53.8199996948242,54.7000007629395,1.16915474420876,2.73430284049994,1.48972455914088,3.14916466544324
ADM,5,2020,45.9000015258789,45.6100006103516,45.2700004577637,46.1699981689453,45.6300010681152,-0.631810252476344,-1.37255130102773,0.588227960982032,-0.588236271869122
ADP,1,2024,300.940002441406,296.760009765625,296.809997558594,298.179992675781,298.459991455078,-1.38897874721553,-1.37236819608791,-0.917129575076142,-0.824088179108352
ADP,2,2023,232.190002441406,229.990005493164,229.270004272461,232.720001220703,232.589996337891,-0.947498568030364,-1.25758996435769,0.228260809562963,0.172270077212278
ADP,3,2022,259.230010986328,260.049987792969,257.200012207031,261.019989013672,260.380004882812,0.316312452991491,-0.783087873033363,0.690497994631641,0.443619121145903
ADP,4,2021,233.270004272461,232.740005493164,236.729995727539,233.910003662109,236.860000610352,-0.227203999481196,1.48325605165965,0.274359916802885,1.53898755611024
ADP,5,2020,175.119995117188,172.0,173.529998779297,172.850006103516,173.679992675781,-1.7816327113875,-0.907946769200752,-1.29624775980205,-0.822294701666355
AFL,1,2024,79.9100036621094,78.7799987792969,79.2600021362305,79.4199981689453,79.620002746582,-1.41409689779342,-0.813416964198082,-0.613196684655452,-0.362909400872558
AFL,2,2023,69.8099975585938,69.2099990844727,69.2699966430664,70.5899963378906,69.3199996948242,-0.859473564108793,-0.77352948633777,1.11731672622121,-0.701902135662347
AFL,3,2022,65.120002746582,64.5599975585938,64.5199966430664,65.0400009155273,64.8600006103516,-0.85995879049251,-0.921385255234943,-0.122852929484713,-0.399266162875039
AFL,4,2021,46.6800003051758,46.3499984741211,47.0400009155273,47.0499992370605,47.1399993896484,-0.706944791982171,0.7712095287017,0.792628383602795,0.985430765778284
AFL,5,2020,52.5,51.8800010681152,51.5499992370605,52.5,51.9500007629395,-1.18095034644724,-1.80952526274191,0.0,-1.04761759440095
ALB,1,2024,89.3000030517578,87.4400024414062,89.3499984741211,89.8099975585938,90.120002746582,-2.08286735362546,0.055985913387168,0.571102451743947,0.918252706384497
ALB,2,2023,218.009994506836,214.610000610352,208.490005493164,215.460006713867,213.190002441406,-1.55955872765154,-4.3667672370743,-1.16966554617708,-2.21090417268868
ALB,3,2022,185.869995117188,196.369995117188,198.240005493164,196.600006103516,199.070007324219,5.64910974112843,6.65519486788435,5.772858055741,7.10174452778599
ALB,4,2021,150.0,161.270004272461,157.279998779297,162.0,161.929992675781,7.51333618164066,4.85333251953133,8.0,7.95332845052066
ALB,5,2020,73.379997253418,64.7900009155273,68.0100021362305,68.5599975585938,69.7799987792969,-11.7061824194748,-7.31806393865376,-6.56854711806313,-4.905967033071
ALRS,1,2024,18.7199993133545,18.3799991607666,18.5,18.5,18.5400009155273,-1.8162401979649,-1.17521005034202,-1.17521005034202,-0.961529938191775
ALRS,2,2023,18.2099990844727,17.8500003814697,18.3099994659424,18.4899997711182,18.3500003814697,-1.97692872653662,0.549150941775555,1.53762054213529,0.768815508158807
ALRS,3,2022,23.8999996185303,23.0100002288818,24.0100002288818,23.2299995422363,24.2999992370605,-3.72384687804956,0.460253607143222,-2.80334764430092,1.67363859796915
ALRS,4,2021,33.0299987792969,31.6000003814697,33.2999992370605,32.9300003051758,33.2999992370605,-4.32939282675215,0.817440108211052,-0.302750462660567,0.817440108211052
ALRS,5,2019,23.25,23.1200008392334,23.0699996948242,23.25,23.3999996185303,-0.559136175340222,-0.774194860971179,0.0,0.645159649592681
ANDE,1,2023,58.1500015258789,57.5400009155273,57.6399993896484,58.5800018310547,58.3499984741211,-1.04901220007729,-0.877045783057335,0.739467401362727,0.343932834039902
ANDE,2,2022,35.1100006103516,34.9900016784668,33.9700012207031,35.5,35.2900009155273,-0.341779919677419,-3.24693639940408,1.110792887692,0.51267531200963
ANDE,3,2021,39.25,38.7099990844727,39.2400016784668,38.8899993896484,39.7000007629395,-1.37579851089758,-0.0254734306578424,-0.917199007265218,1.14649875908154
ANDE,4,2019,24.8999996185303,25.2800006866455,25.0,25.5100002288818,25.5799999237061,1.52610873067006,0.401607963862307,2.44980168552913,2.73092496222271
