Symbols
ABM
ADM
ADP
AFL
ALB
ALRS
ANDE
AOS
APD
AROW
ATO
ATR
AWR
BANF
BDX
BEN
BKH
BMI
BRC
BRO
CAH
CASY
CAT
CB
CBSH
CBU
CFR
CHD
CHRW
CINF
CL
CLX
CNI
CSL
CTAS
CTBI
CVX
CWT
DCI
DOV
EBTC
ECL
ED
EMR
ENB
EPD
ERIE
ES
ESS
EXPD
FAST
FDS
FELE
FRT
FUL
GD
GGG
GPC
GWW
HRL
IBM
ITW
JKHY
JNJ
KMB
KO
LANC
LECO
LIN
LOW
MATW
MCD
MDT
MGEE
MGRC
MKC
MO
MSA
NDSN
NEE
NFG
NJR
NNN
NUE
NWFL
NWN
O
ORI
OZK
PB
PEP
PG
PH
PII
PPG
RGCO
RLI
RNR
ROP
RPM
RTX
SBSI
SCL
SEIC
SHW
SJM
SJW
SON
SPGI
SRCE
SWK
SYK
SYY
TGT
THFF
TMP
TNC
TR
TROW
UBSI
UGI
UHT
UMBF
UVV
WABC
WLY
WLYB
WMT
WST
WTRG
XOM
YORW
