Symbol,Increase_Num,During_High_Increase,During_Close_Increase,After_High_Increase,After_Close_Increase
ADM,1,0.264000363701783,,0.018861279390228,
ADM,2,0.777169886468829,,4.60230842228653,
ADM,3,0.434441594302309,0.0263352721195385,1.500789103987,0.961036553096428
ADM,4,1.48972455914088,1.16915474420876,3.14916466544324,2.73430284049994
ADM,5,0.588227960982032,,,
ANDE,1,0.739467401362727,,0.343932834039902,
ANDE,2,1.110792887692,,0.51267531200963,
ANDE,3,,,1.14649875908154,
ANDE,4,2.44980168552913,1.52610873067006,2.73092496222271,0.401607963862307
ANDE,5,1.5953877641185,1.45960732701562,5.39714936184718,5.19348518056102
AOS,1,,,0.315496075630893,
AOS,2,0.502438208040851,,0.933094835362403,0.14355220910717
AOS,3,2.67571507783726,2.46844051408345,3.9758820849539,3.22215770549454
AOS,4,10.6175898748856,7.52966951397595,11.2564675484378,11.1499879361791
AOS,5,5.24301907093213,2.14313582578228,2.88940333855372,
APD,1,1.91309108004745,1.41912228748992,2.41543406552701,1.90053298448324
APD,2,3.32003532587063,3.1978707105591,3.95602380877712,3.85541700997247
APD,3,0.541379950640694,,0.81206688890248,
APD,4,0.222137765012773,,0.567686595077128,0.454853006435192
APD,5,3.73356356957387,0.574393803918645,,
BDX,1,1.29400079407534,0.900366571309017,1.2035057243239,0.190027219629971
BDX,2,0.0556129121969271,,0.367930431308705,
BDX,3,1.18246438184873,1.10907287286565,1.76962134062834,0.95820840102589
BDX,4,0.127832398520009,,,
BDX,5,1.8796419528227,1.03462957084348,1.74773770679526,0.976916628006668
BKH,1,2.31969290273714,2.06627951082956,2.49513179927983,1.52047291538888
BKH,2,0.267499335305047,,,
BKH,3,0.54977544670343,,,
BKH,4,3.76095714797069,3.71315032837403,3.93625692542326,3.07569769749131
BKH,5,0.514646867155853,,0.791763636561331,0.461861282342371
BRO,1,8.35866560960532,5.2526584758894,5.49012048472176,4.81572924924938
BRO,2,2.54075995003527,1.9532999009938,2.59950707542635,1.77706972968929
BRO,3,1.28358719165292,0.376520998723337,0.753035468784728,
BRO,4,,,0.379269410708834,
BRO,5,1.99727014523301,0.590100575191552,5.44711220239899,4.15342251320659
CBSH,1,0.753399557164875,,0.257261796207424,
CBSH,2,3.46553161430316,2.04081160511097,3.50404360476553,1.19368662467931
CBSH,3,0.141527964612986,,,
CBSH,4,0.625383539532165,,,
CBSH,5,,,0.608346762466974,0.57937467813021
CL,1,0.298853030149997,0.149422130365514,1.9885096056708,1.52873773684448
CL,2,1.00396587433171,0.871867488397209,2.37781126066425,1.45311248066192
CL,3,2.44208467739506,2.1039453190726,3.34376733871904,2.81778339761548
CL,4,1.73955496780405,1.05616108184205,1.95079476806327,0.832502660286718
CL,5,1.09738738767969,0.713301278713688,0.562408812254078,
CWT,1,2.80130496612305,2.04126483600416,4.47340153620076,3.84364926620721
CWT,2,1.0351930270811,,0.50963479878715,0.38222306142737
CWT,3,1.13244481085352,,,
CWT,4,3.32554096458834,3.32554096458834,4.44004558436293,3.95470199658229
CWT,5,0.904388816924178,0.20302807259488,1.60575660203823,1.45810430246865
ECL,1,1.21197355337922,,,
ECL,2,0.817205249696651,0.490324708507451,1.22580787454522,0.536290458023296
ECL,3,0.139370695639016,,,
ECL,4,0.228083999842022,,,
ECL,5,0.387509862900053,,0.973281545259889,0.459606320066493
ERIE,1,0.556141932199078,,,
ERIE,2,,,0.241422003968151,
ERIE,3,0.622728057730239,,,
ERIE,4,0.75778866345617,0.356603156294234,1.69388199676239,0.688899347088001
ERIE,5,2.97236388915953,2.6904452037216,2.77011970532782,1.88760303096038
FAST,1,1.05355759333574,,2.19490793148951,2.19490793148951
FAST,2,0.777632745503415,0.512907644498206,2.91198242260175,2.79616558538334
FAST,3,5.68250255862415,4.95450096084844,11.9110198155198,11.8099091253495
FAST,4,2.02982055915632,1.50889200685565,3.03575084784005,2.85611676825034
FAST,5,2.2048211863559,,0.30909031455177,
FELE,1,0.800669946055526,,0.44712520886233,0.322351246636917
FELE,2,5.53764393828528,4.39788126638459,8.65760602144204,8.5885321575551
FELE,3,0.735631482354477,,0.873565673828158,
FELE,4,0.279520530694496,0.0139685624175009,1.11809278580267,0.698811989760937
FELE,5,2.74226296395432,2.52355322115701,2.87685554959202,2.47308421040671
KMB,1,2.00696233961217,1.88557241790832,2.0797925881452,1.68325793978466
KMB,2,0.137438892061256,,,
